transaction_id,customer_id,product_id,transaction_date,amount,quantity,promo_code,ingestion_timestamp,source_file
T000359,C00230,P0023,2025-04-25,772.08,1,,2025-04-25 21:00:00,batch_2025_01.csv
T001191,C00455,P0106,2025-06-21,576.12,4,SAVE10,2025-06-21 08:00:00,batch_2025_01.csv
T004033,C00418,P0058,2025-03-22,467.94,2,WELCOME5,2025-03-24 00:00:00,batch_2025_01.csv
T002249,C00340,P0050,2025-03-15,516.69,3,,2025-03-15 20:00:00,batch_2025_01.csv
T000600,C00154,P0146,06/23/2025,716.56,3,,2025-06-23 20:00:00,batch_2025_01.csv
T003616,C00024,P9999,2025-06-19,567.92,5,WELCOME5,2025-06-20 14:00:00,batch_2025_01.csv
T004608,C99999,P0050,01/23/2025,$570.63,3,,2025-01-23 11:00:00,batch_2025_01.csv
T001749,C00421,P0071,2025-04-18,463.92,4,WELCOME5,2025-04-18 13:00:00,batch_2025_01.csv
T002919,C00193,P0072,2025-04-18,$155.85,1,SAVE10,2025-04-19 07:00:00,batch_2025_01.csv
T000726,C00370,P0011,2025-05-07,81.37,3,SAVE10,2025-05-07 08:00:00,batch_2025_01.csv
T004204,C00016,P0129,2025-07-03,380.30,1,,2025-07-03 04:00:00,batch_2025_01.csv
T003991,C00457,P0141,2025-01-04,566.34,5,WELCOME5,2025-01-04 18:00:00,batch_2025_01.csv
T000282,C00201,P0146,06/04/2025,36.89,2,WELCOME5,2025-06-04 21:00:00,batch_2025_01.csv
T004448,C00186,P0014,2025-02-23,432.87,2,,2025-02-23 15:00:00,batch_2025_01.csv
T002056,,P0094,07/22/2025,$362.24,2,,2025-07-23 23:00:00,batch_2025_01.csv
T000462,C00134,P0093,2025-05-23,329.39,3,WELCOME5,2025-05-23 17:00:00,batch_2025_01.csv
T001767,C00025,P0059,2025-08-23,$88.26,1,,2025-08-23 11:00:00,batch_2025_01.csv
T003590,,P0117,2025-08-10,370.67,5,SAVE10,2025-08-11 18:00:00,batch_2025_01.csv
T000169,C00290,P0063,2025-02-27,891.29,1,,2025-02-27 20:00:00,batch_2025_01.csv
T000545,C00353,P0084,2025-08-16,$781.16,5,SAVE10,2025-08-16 16:00:00,batch_2025_01.csv
T000645,C00335,P0005,2025-08-24,$428.33,2,,2025-08-25 16:00:00,batch_2025_01.csv
T002968,C00461,P0054,2025-04-19,654.88,3,WELCOME5,2025-04-20 12:00:00,batch_2025_01.csv
T001835,C00437,P0001,01/17/2025,858.60,4,,2025-01-17 18:00:00,batch_2025_01.csv
T001666,C00490,P0082,03/22/2025,0.00,2,WELCOME5,2025-03-23 15:00:00,batch_2025_01.csv
T003130,C00013,P0144,2025-08-23,$886.95,1,,2025-08-24 03:00:00,batch_2025_01.csv
T002890,C00073,P0033,2025-05-15,190.89,3,WELCOME5,2025-05-16 18:00:00,batch_2025_01.csv
T003039,C00471,P0128,01/29/2025,-45.00,5,,2025-01-30 19:00:00,batch_2025_01.csv
T000669,C00254,P0062,2025-07-12,82.12,2,,2025-07-12 01:00:00,batch_2025_01.csv
T002626,C00230,P0108,2025-01-28,507.22,1,WELCOME5,2025-01-28 01:00:00,batch_2025_01.csv
T003753,C00239,P0027,2025-08-26,572.99,2,,2025-08-26 22:00:00,batch_2025_01.csv
T002656,C00178,P0007,08/02/2025,621.08,5,SAVE10,2025-08-03 15:00:00,batch_2025_01.csv
T000504,C00484,P0056,01/25/2025,$864.84,2,,2025-01-25 07:00:00,batch_2025_01.csv
T002072,C00072,P0087,2025-05-28,774.98,5,,2025-05-29 19:00:00,batch_2025_01.csv
T002866,C00295,P0025,2025-01-01,232.22,2,WELCOME5,2025-01-01 05:00:00,batch_2025_01.csv
T003005,C00223,P0082,2025-03-28,$602.90,4,,2025-03-28 14:00:00,batch_2025_01.csv
T002367,C00147,P0106,2025-05-01,$338.53,1,,2025-05-02 14:00:00,batch_2025_01.csv
T003291,C00040,P0127,07/25/2025,196.44,3,SAVE10,2025-07-26 20:00:00,batch_2025_01.csv
T004806,C00422,P0138,2025-01-06,163.96,4,,2025-01-07 13:00:00,batch_2025_01.csv
T001733,C00342,P0033,2025-02-07,773.20,1,WELCOME5,2025-02-07 05:00:00,batch_2025_01.csv
T003142,,P0022,2025-05-01,$515.33,5,,2025-05-02 01:00:00,batch_2025_01.csv
T000304,C00474,P0028,01/26/2025,509.91,4,,2025-01-26 19:00:00,batch_2025_01.csv
T000913,C00436,P0131,2025-08-15,871.80,4,WELCOME5,2025-08-16 08:00:00,batch_2025_01.csv
T001115,C00085,P0014,2025-06-15,724.58,1,,2025-06-16 04:00:00,batch_2025_01.csv
T000772,C00002,P0103,2025-03-20,186.47,2,WELCOME5,2025-03-20 21:00:00,batch_2025_01.csv
T002226,C00382,P0110,2025-05-31,$407.44,3,,2025-06-01 12:00:00,batch_2025_01.csv
T003172,C00075,P0133,2025-04-11,134.65,5,,2025-04-12 11:00:00,batch_2025_01.csv
T003432,C00251,P0071,2025-04-28,$487.40,3,WELCOME5,2025-04-28 18:00:00,batch_2025_01.csv
T003002,C00434,P0017,07/15/2025,246.62,2,WELCOME5,2025-07-16 01:00:00,batch_2025_01.csv
T004203,C00261,P0014,2025-07-20,507.96,5,,2025-07-21 16:00:00,batch_2025_01.csv
T003738,C00208,P0045,2025-07-11,845.07,1,,2025-07-12 20:00:00,batch_2025_01.csv
T002715,C00069,P0105,03/09/2025,363.46,5,,2025-03-09 22:00:00,batch_2025_01.csv
T004951,C00499,P0082,01/21/2025,$284.95,4,WELCOME5,2025-01-22 03:00:00,batch_2025_01.csv
T004153,C00412,P0137,2025-08-12,106.28,5,,2025-08-13 15:00:00,batch_2025_01.csv
T001404,C00018,P0067,2025-04-18,$862.99,1,SAVE10,2025-04-18 12:00:00,batch_2025_01.csv
T000846,C00051,P0038,2025-08-01,642.78,2,SAVE10,2025-08-02 03:00:00,batch_2025_01.csv
T004396,C00395,P0075,2025-05-08,$276.15,4,SAVE10,2025-05-08 04:00:00,batch_2025_01.csv
T003315,C00138,P0044,2025-05-22,272.51,1,,2025-05-22 18:00:00,batch_2025_01.csv
T000392,C00286,P0019,2025-02-28,520.87,4,SAVE10,2025-02-28 17:00:00,batch_2025_01.csv
T003307,C00205,P0134,2025-03-28,$598.04,3,,2025-03-29 16:00:00,batch_2025_01.csv
T000510,C00001,P0009,2025-06-02,884.80,3,,2025-06-02 02:00:00,batch_2025_01.csv
T001448,C00141,P0010,2025-02-07,687.10,3,WELCOME5,2025-02-08 10:00:00,batch_2025_01.csv
T000470,C00392,P0022,2025-06-08,100.70,4,,2025-06-08 10:00:00,batch_2025_01.csv
T001198,C00332,P0027,08/13/2025,139.38,4,,2025-08-13 07:00:00,batch_2025_01.csv
T004747,C00297,P0073,2025-06-13,85.57,5,,2025-06-14 06:00:00,batch_2025_01.csv
T000687,C00474,P0042,03/15/2025,642.94,2,,2025-03-15 12:00:00,batch_2025_01.csv
T001122,C00454,P0024,03/01/2025,$857.91,2,WELCOME5,2025-03-01 14:00:00,batch_2025_01.csv
T000453,C00028,P0135,2025-05-03,,2,SAVE10,2025-05-04 11:00:00,batch_2025_01.csv
T003534,C00477,P0105,2025-05-02,705.35,4,SAVE10,2025-05-02 03:00:00,batch_2025_01.csv
T002694,C00203,P0115,2025-02-28,75.80,4,,2025-02-28 07:00:00,batch_2025_01.csv
T003284,C00465,P0068,2025-07-10,52.49,5,SAVE10,2025-07-11 20:00:00,batch_2025_01.csv
T002125,C00258,P0147,2025-07-19,864.46,5,,2025-07-19 15:00:00,batch_2025_01.csv
T003487,C00345,P0033,2025-07-23,$861.57,2,,2025-07-23 11:00:00,batch_2025_01.csv
T004109,C00292,P0043,2025-01-10,598.73,1,,2025-01-11 02:00:00,batch_2025_01.csv
T003754,C00267,P0125,2025-08-14,675.37,2,WELCOME5,2025-08-15 10:00:00,batch_2025_01.csv
T003988,C00279,P0150,2025-06-17,286.48,2,SAVE10,2025-06-17 14:00:00,batch_2025_01.csv
T003436,C00307,P0110,07/04/2025,219.92,2,,2025-07-04 01:00:00,batch_2025_01.csv
T001908,C00319,P0011,2025-05-01,288.19,1,WELCOME5,2025-05-01 03:00:00,batch_2025_01.csv
T001284,C00064,P0079,03/24/2025,515.05,1,SAVE10,2025-03-24 17:00:00,batch_2025_01.csv
T000548,C00377,P0011,05/13/2025,505.47,4,SAVE10,2025-05-14 17:00:00,batch_2025_01.csv
T000388,C00412,P0131,01/12/2025,405.44,5,,2025-01-12 19:00:00,batch_2025_01.csv
T003868,C00112,P0016,2025-07-18,$847.83,2,,2025-07-19 06:00:00,batch_2025_01.csv
T000676,C00288,P9999,2025-03-27,$131.46,5,,2025-03-27 16:00:00,batch_2025_01.csv
T001760,C00176,P0083,2025-05-10,26.48,2,,2025-05-11 16:00:00,batch_2025_01.csv
T001111,C00310,P0045,01/03/2025,$456.94,4,WELCOME5,2025-01-04 02:00:00,batch_2025_01.csv
T002942,C00184,P0033,2025-05-15,$582.19,2,WELCOME5,2025-05-16 07:00:00,batch_2025_01.csv
T002803,C00230,P0105,2025-08-28,372.86,4,,2025-08-29 10:00:00,batch_2025_01.csv
T004546,C00335,P0008,2025-03-12,223.27,3,SAVE10,2025-03-13 03:00:00,batch_2025_01.csv
T004688,C00226,P0073,03/23/2025,$647.83,3,,2025-03-24 17:00:00,batch_2025_01.csv
T002284,C00489,P0011,06/29/2025,349.78,5,SAVE10,2025-06-30 02:00:00,batch_2025_01.csv
T003157,C00100,P0076,05/06/2025,610.22,3,SAVE10,2025-05-06 14:00:00,batch_2025_01.csv
T000587,C00463,P0013,2025-01-14,102.49,5,WELCOME5,2025-01-14 06:00:00,batch_2025_01.csv
T004061,C00477,P0114,02/15/2025,$817.67,5,,2025-02-15 21:00:00,batch_2025_01.csv
T001887,C00379,P0025,2025-05-27,882.79,2,,2025-05-27 02:00:00,batch_2025_01.csv
T003690,C00321,P0132,2025-01-23,$81.06,5,WELCOME5,2025-01-23 21:00:00,batch_2025_01_late.csv
T001450,C00080,P0033,2025-03-16,138.70,2,WELCOME5,2025-03-17 01:00:00,batch_2025_01.csv
T002298,C00198,P0129,2025-07-26,349.02,2,,2025-07-26 05:00:00,batch_2025_01.csv
T001529,C00031,P0106,05/04/2025,133.15,2,SAVE10,2025-05-04 11:00:00,batch_2025_01.csv
T002641,C00164,P0121,03/28/2025,228.13,1,,2025-03-28 21:00:00,batch_2025_01.csv
T001916,C00486,P0122,2025-08-27,452.61,2,WELCOME5,2025-08-27 16:00:00,batch_2025_01.csv
T000422,C00113,P0106,07/23/2025,543.95,5,,2025-07-24 14:00:00,batch_2025_01.csv
T000295,C00190,P0098,2025-04-25,337.51,2,,2025-04-25 03:00:00,batch_2025_01.csv
T001323,C00376,P0128,02/20/2025,260.08,2,,2025-02-21 17:00:00,batch_2025_01.csv
T001190,C00358,P0044,2025-05-30,832.97,2,WELCOME5,2025-05-31 06:00:00,batch_2025_01.csv
T001299,C00228,P0105,2025-04-01,330.80,4,WELCOME5,2025-04-02 12:00:00,batch_2025_01.csv
T003661,C00046,P0048,2025-04-14,735.71,1,,2025-04-14 20:00:00,batch_2025_01.csv
T002278,C00183,P0102,2025-01-25,0.00,1,,2025-01-26 16:00:00,batch_2025_01.csv
T003429,C00010,P0103,2025-07-25,256.46,3,WELCOME5,2025-07-26 12:00:00,batch_2025_01.csv
T003194,C00096,P0141,06/04/2025,$825.76,5,,2025-06-05 20:00:00,batch_2025_01.csv
T003990,C00108,P0137,04/13/2025,258.59,3,SAVE10,2025-04-14 17:00:00,batch_2025_01.csv
T000991,C00014,P0032,03/13/2025,783.15,4,WELCOME5,2025-03-14 21:00:00,batch_2025_01.csv
T002006,C00429,P0034,2025-05-28,$293.54,5,,2025-05-28 13:00:00,batch_2025_01.csv
T000750,C00259,P0077,2025-05-19,394.16,5,WELCOME5,2025-05-19 21:00:00,batch_2025_01.csv
T001197,C00263,P0052,2025-02-18,703.78,3,WELCOME5,2025-02-18 05:00:00,batch_2025_01.csv
T003818,C00445,P0109,08/10/2025,$294.59,3,,2025-08-12 00:00:00,batch_2025_01.csv
T004958,C00348,P0119,2025-07-01,$516.61,2,,2025-07-02 07:00:00,batch_2025_01.csv
T001786,C00181,P0085,2025-08-25,180.58,2,WELCOME5,2025-08-26 09:00:00,batch_2025_01.csv
T001557,C00248,P0113,2025-05-22,377.76,5,WELCOME5,2025-05-23 13:00:00,batch_2025_01.csv
T004197,C00229,P0068,2025-07-22,564.67,2,,2025-07-22 02:00:00,batch_2025_01.csv
T001558,C00205,P0148,2025-04-10,$800.63,3,,2025-04-12 00:00:00,batch_2025_01.csv
T004675,C00254,P0049,2025-05-14,408.35,5,,2025-05-14 12:00:00,batch_2025_01.csv
T000441,C00282,P0073,2025-05-24,655.72,3,,2025-05-25 14:00:00,batch_2025_01.csv
T002868,C00456,P0003,05/04/2025,721.33,3,,2025-05-04 22:00:00,batch_2025_01.csv
T001413,C00326,P0010,2025-04-02,$539.43,2,,2025-04-03 23:00:00,batch_2025_01.csv
T003220,C00410,P0016,2025-07-04,$330.17,4,SAVE10,2025-07-04 03:00:00,batch_2025_01.csv
T004680,C00277,P0013,2025-06-25,660.20,4,SAVE10,2025-06-25 05:00:00,batch_2025_01.csv
T000672,C00405,P0095,2025-06-30,$567.12,4,,2025-07-01 17:00:00,batch_2025_01.csv
T001804,C00110,P0104,2025-03-02,391.65,3,,2025-03-02 19:00:00,batch_2025_01.csv
T003373,C00206,P0110,2025-07-06,76.24,1,WELCOME5,2025-07-06 20:00:00,batch_2025_01.csv
T000417,C00264,P0072,2025-02-17,$196.67,1,,2025-02-17 11:00:00,batch_2025_01.csv
T004065,C00067,P0115,01/22/2025,861.92,5,SAVE10,2025-01-22 08:00:00,batch_2025_01.csv
T004761,C00108,P0133,2025-03-23,459.77,2,,2025-03-23 17:00:00,batch_2025_01.csv
T004851,C00268,P0138,2025-02-18,$883.66,4,,2025-02-18 12:00:00,batch_2025_01.csv
T002232,C00342,P0027,01/26/2025,801.42,5,SAVE10,2025-01-26 06:00:00,batch_2025_01.csv
T004998,,P0093,2025-04-27,$294.30,1,,2025-04-28 20:00:00,batch_2025_01.csv
T002618,C00055,P0128,05/31/2025,$674.80,1,,2025-06-01 12:00:00,batch_2025_01_late.csv
T003979,C00065,P0100,2025-08-20,599.67,3,SAVE10,2025-08-20 17:00:00,batch_2025_01.csv
T000198,C00050,P0113,2025-04-26,652.02,1,,2025-04-26 21:00:00,batch_2025_01.csv
T000090,C00038,P0033,2025-06-14,$875.36,3,,2025-06-14 05:00:00,batch_2025_01.csv
T002719,C00437,P0002,04/18/2025,627.79,4,,2025-04-18 02:00:00,batch_2025_01.csv
T001487,C00273,P0041,2025-08-05,720.34,2,,2025-08-05 06:00:00,batch_2025_01.csv
T004763,C00284,P0071,2025-01-28,101.33,4,SAVE10,2025-01-29 13:00:00,batch_2025_01.csv
T003000,C00142,P0147,2025-06-10,498.73,2,,2025-06-11 00:00:00,batch_2025_01.csv
T002979,C00059,P0067,2025-05-31,629.44,3,,2025-06-01 06:00:00,batch_2025_01.csv
T003831,C00420,P0043,2025-04-02,$76.13,2,,2025-04-03 13:00:00,batch_2025_01.csv
T000877,C00276,P0021,2025-06-16,710.28,4,,2025-06-17 18:00:00,batch_2025_01.csv
T003758,C00401,P0071,2025-06-25,286.87,3,,2025-06-26 18:00:00,batch_2025_01.csv
T004672,C00346,P0124,2025-03-05,342.60,1,,2025-03-05 22:00:00,batch_2025_01.csv
T000659,C00264,P0030,2025-03-02,$71.21,4,,2025-03-03 23:00:00,batch_2025_01.csv
T000635,C00398,P0115,2025-05-08,24.74,1,SAVE10,2025-05-08 10:00:00,batch_2025_01.csv
T002106,C00365,P0068,2025-04-21,155.31,1,WELCOME5,2025-04-22 19:00:00,batch_2025_01.csv
T002671,C00115,P0029,2025-04-23,$777.82,4,,2025-04-23 11:00:00,batch_2025_01.csv
T004191,C00479,P0127,2025-05-28,250.19,1,,2025-05-28 12:00:00,batch_2025_01.csv
T002373,C00283,P0077,2025-06-28,,1,,2025-06-28 21:00:00,batch_2025_01.csv
T000920,C00140,P0098,2025-04-24,30.05,1,,2025-04-24 15:00:00,batch_2025_01.csv
T000233,C00494,P0110,2025-02-05,288.54,5,WELCOME5,2025-02-05 16:00:00,batch_2025_01.csv
T002785,C00220,P0010,2025-07-26,$347.99,5,SAVE10,2025-07-27 06:00:00,batch_2025_01.csv
T004475,C00235,P0130,2025-03-31,777.37,3,,2025-04-01 14:00:00,batch_2025_01.csv
T004442,C00112,P0059,2025-08-14,$739.37,4,WELCOME5,2025-08-15 06:00:00,batch_2025_01.csv
T003742,C00004,P0121,2025-05-20,113.02,3,,2025-05-21 04:00:00,batch_2025_01.csv
T004307,C00436,P0135,05/10/2025,$721.33,5,WELCOME5,2025-05-11 11:00:00,batch_2025_01.csv
T002594,C00336,P0068,2025-07-03,$852.28,4,,2025-07-04 00:00:00,batch_2025_01.csv
T000940,C00359,P0077,2025-07-30,356.85,5,SAVE10,2025-07-30 12:00:00,batch_2025_01.csv
T003907,C00227,P0039,2025-04-21,216.29,3,,2025-04-22 17:00:00,batch_2025_01.csv
T001661,C00358,P0050,2025-03-24,812.46,5,WELCOME5,2025-03-25 17:00:00,batch_2025_01.csv
T004962,C00228,P0026,07/20/2025,572.16,5,,2025-07-21 19:00:00,batch_2025_01.csv
T004217,C00307,P0112,04/24/2025,370.57,1,WELCOME5,2025-04-25 15:00:00,batch_2025_01.csv
T000487,C00243,P0100,2025-03-21,$615.85,5,WELCOME5,2025-03-21 21:00:00,batch_2025_01.csv
T002100,C00128,P0017,2025-02-14,$290.47,1,WELCOME5,2025-02-14 03:00:00,batch_2025_01.csv
T004144,C00118,P0137,2025-07-06,200.59,2,,2025-07-07 11:00:00,batch_2025_01.csv
T003063,C00148,P0121,2025-07-24,503.66,2,WELCOME5,2025-07-25 06:00:00,batch_2025_01.csv
T001843,C00002,P0147,2025-06-20,325.04,1,,2025-06-21 00:00:00,batch_2025_01.csv
T001547,C00395,P0141,07/09/2025,$586.27,2,SAVE10,2025-07-10 02:00:00,batch_2025_01.csv
